date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:25	138571/138571	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/index.html?storefront=envato-elements	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/index04b9.html	(from )
10:33:25	129/129	U-----	200	untouched ('OK')	text/plain	date:Mon,%2001%20Sep%202025%2005:26:45%20GMT	https://gramentheme.com/robots.txt		(from )
10:33:27	50480/50480	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Sep%202025%2005:33:26%20GMT	https://gramentheme.com/html/bookle/shop-details	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/shop-details	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:39	2263/2263	U-----	200	untouched ('')	image/png	date:Sun,%2028%20Jul%202024%2003:02:22%20GMT	https://gramentheme.com/html/bookle/assets/img/favicon.png	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/img/favicon.png	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:39	57095/57095	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:28%20GMT	https://gramentheme.com/html/bookle/assets/css/animate.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/animate.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:39	297514/297514	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/bootstrap.min.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:40	465729/465729	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:28%20GMT	https://gramentheme.com/html/bookle/assets/css/all.min.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/all.min.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:41	16466/16466	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/swiper-bundle.min.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:41	2915/2915	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/css/meanmenu.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/meanmenu.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:41	6955/6955	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/magnific-popup.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:41	4116/4116	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/css/nice-select.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/nice-select.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:41	1894/1894	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/css/icomoon.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/icomoon.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:41	199841/199841	U-----	200	untouched ('OK')	text/css	date:Sun,%2028%20Jul%202024%2003:39:46%20GMT	https://gramentheme.com/html/bookle/assets/css/main.css	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/css/main.css	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:42	138571/138571	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/index.html	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/index.html	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:42	12470/12470	U-----	200	untouched ('OK')	image/svg+xml	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/img/logo/black-logo.svg	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/img/logo/black-logo.svg	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:42	51505/51505	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/contact.html	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/contact.html	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:42	12439/12439	U-----	200	untouched ('OK')	image/svg+xml	date:Sun,%2028%20Jul%202024%2002:13:30%20GMT	https://gramentheme.com/html/bookle/assets/img/logo/white-logo.svg	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/assets/img/logo/white-logo.svg	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:42	118288/118288	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/index-2.html	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/index-2.html	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:54	86593/86593	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/shop-details.html	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/shop-details.html	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:54	55617/55617	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/shop-cart.html	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/shop-cart.html	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:54	265442/265442	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/shop.html	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/shop.html	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
10:33:54	60459/60459	U-----	200	untouched ('OK')	text/html	date:Sun,%2028%20Jul%202024%2003:34:36%20GMT	https://gramentheme.com/html/bookle/shop-list.html	C:/My%20Web%20Sites/Online%20Shopping%20Store/gramentheme.com/html/bookle/shop-list.html	(from https://gramentheme.com/html/bookle/index.html?storefront=envato-elements)
